Date,Date_YMD,Total Confirmed,Total Recovered,Total Deceased,Daily Confirmed,Daily Recovered,Daily Deceased
30-Jan-20,1/30/2020,1,0,0,1,0,0
31-Jan-20,1/31/2020,1,0,0,0,0,0
1-Feb-20,2/1/2020,1,0,0,0,0,0
2-Feb-20,2/2/2020,2,0,0,1,0,0
3-Feb-20,2/3/2020,3,0,0,1,0,0
4-Feb-20,2/4/2020,3,0,0,0,0,0
5-Feb-20,2/5/2020,3,0,0,0,0,0
6-Feb-20,2/6/2020,3,0,0,0,0,0
7-Feb-20,2/7/2020,3,0,0,0,0,0
8-Feb-20,2/8/2020,3,0,0,0,0,0
9-Feb-20,2/9/2020,3,0,0,0,0,0
10-Feb-20,2/10/2020,3,0,0,0,0,0
11-Feb-20,2/11/2020,3,0,0,0,0,0
12-Feb-20,2/12/2020,3,0,0,0,0,0
13-Feb-20,2/13/2020,3,1,0,0,1,0
14-Feb-20,2/14/2020,3,1,0,0,0,0
15-Feb-20,2/15/2020,3,1,0,0,0,0
16-Feb-20,2/16/2020,3,2,0,0,1,0
17-Feb-20,2/17/2020,3,2,0,0,0,0
18-Feb-20,2/18/2020,3,2,0,0,0,0
19-Feb-20,2/19/2020,3,2,0,0,0,0
20-Feb-20,2/20/2020,3,3,0,0,1,0
21-Feb-20,2/21/2020,3,3,0,0,0,0
22-Feb-20,2/22/2020,3,3,0,0,0,0
23-Feb-20,2/23/2020,3,3,0,0,0,0
24-Feb-20,2/24/2020,3,3,0,0,0,0
25-Feb-20,2/25/2020,3,3,0,0,0,0
26-Feb-20,2/26/2020,3,3,0,0,0,0
27-Feb-20,2/27/2020,3,3,0,0,0,0
28-Feb-20,2/28/2020,3,3,0,0,0,0
29-Feb-20,2/29/2020,3,3,0,0,0,0
1-Mar-20,3/1/2020,3,3,0,0,0,0
2-Mar-20,3/2/2020,5,3,0,2,0,0
3-Mar-20,3/3/2020,6,3,0,1,0,0
4-Mar-20,3/4/2020,28,3,0,22,0,0
5-Mar-20,3/5/2020,30,3,0,2,0,0
6-Mar-20,3/6/2020,31,3,0,1,0,0
7-Mar-20,3/7/2020,34,3,0,3,0,0
8-Mar-20,3/8/2020,39,3,0,5,0,0
9-Mar-20,3/9/2020,48,3,0,9,0,0
10-Mar-20,3/10/2020,63,4,0,15,1,0
11-Mar-20,3/11/2020,71,4,0,8,0,0
12-Mar-20,3/12/2020,81,4,1,10,0,1
13-Mar-20,3/13/2020,91,10,1,10,6,0
14-Mar-20,3/14/2020,102,10,2,11,0,1
15-Mar-20,3/15/2020,112,13,2,10,3,0
16-Mar-20,3/16/2020,126,14,2,14,1,0
17-Mar-20,3/17/2020,146,15,3,20,1,1
18-Mar-20,3/18/2020,171,15,3,25,0,0
19-Mar-20,3/19/2020,198,20,4,27,5,1
20-Mar-20,3/20/2020,256,23,4,58,3,0
21-Mar-20,3/21/2020,334,23,4,78,0,0
22-Mar-20,3/22/2020,403,23,7,69,0,3
23-Mar-20,3/23/2020,497,25,9,94,2,2
24-Mar-20,3/24/2020,571,40,10,74,15,1
25-Mar-20,3/25/2020,657,43,11,86,3,1
26-Mar-20,3/26/2020,730,50,16,73,7,5
27-Mar-20,3/27/2020,883,75,19,153,25,3
28-Mar-20,3/28/2020,1019,85,24,136,10,5
29-Mar-20,3/29/2020,1139,102,27,120,17,3
30-Mar-20,3/30/2020,1326,137,41,187,35,14
31-Mar-20,3/31/2020,1635,150,47,309,13,6
1-Apr-20,4/1/2020,2059,169,53,424,19,6
2-Apr-20,4/2/2020,2545,191,69,486,22,16
3-Apr-20,4/3/2020,3105,230,83,560,39,14
4-Apr-20,4/4/2020,3684,286,96,579,56,13
5-Apr-20,4/5/2020,4293,329,118,609,43,22
6-Apr-20,4/6/2020,4777,394,134,484,65,16
7-Apr-20,4/7/2020,5350,469,161,573,75,27
8-Apr-20,4/8/2020,5915,565,181,565,96,20
9-Apr-20,4/9/2020,6728,635,227,813,70,46
10-Apr-20,4/10/2020,7599,786,249,871,151,22
11-Apr-20,4/11/2020,8453,972,290,854,186,41
12-Apr-20,4/12/2020,9211,1086,332,758,114,42
13-Apr-20,4/13/2020,10454,1198,359,1243,112,27
14-Apr-20,4/14/2020,11485,1365,396,1031,167,37
15-Apr-20,4/15/2020,12371,1509,423,886,144,27
16-Apr-20,4/16/2020,13432,1767,449,1061,258,26
17-Apr-20,4/17/2020,14354,2040,487,922,273,38
18-Apr-20,4/18/2020,15725,2466,522,1371,426,35
19-Apr-20,4/19/2020,17305,2854,560,1580,388,38
20-Apr-20,4/20/2020,18544,3273,593,1239,419,33
21-Apr-20,4/21/2020,20081,3976,646,1537,703,53
22-Apr-20,4/22/2020,21373,4370,682,1292,394,36
23-Apr-20,4/23/2020,23040,5012,722,1667,642,40
24-Apr-20,4/24/2020,24448,5496,781,1408,484,59
25-Apr-20,4/25/2020,26283,5938,825,1835,442,44
26-Apr-20,4/26/2020,27890,6523,881,1607,585,56
27-Apr-20,4/27/2020,29458,7103,939,1568,580,58
28-Apr-20,4/28/2020,31360,7739,1008,1902,636,69
29-Apr-20,4/29/2020,33065,8429,1079,1705,690,71
30-Apr-20,4/30/2020,34866,9059,1154,1801,630,75
1-May-20,5/1/2020,37262,10021,1231,2396,962,77
2-May-20,5/2/2020,39826,10852,1323,2564,831,92
3-May-20,5/3/2020,42778,11763,1463,2952,911,140
4-May-20,5/4/2020,46434,12845,1566,3656,1082,103
5-May-20,5/5/2020,49405,14140,1694,2971,1295,128
6-May-20,5/6/2020,53007,15301,1785,3602,1161,91
7-May-20,5/7/2020,56351,16776,1889,3344,1475,104
8-May-20,5/8/2020,59690,17887,1986,3339,1111,97
9-May-20,5/9/2020,62865,19301,2101,3175,1414,115
10-May-20,5/10/2020,67176,20970,2213,4311,1669,112
11-May-20,5/11/2020,70768,22549,2294,3592,1579,81
12-May-20,5/12/2020,74330,24454,2414,3562,1905,120
13-May-20,5/13/2020,78056,26417,2551,3726,1963,137
14-May-20,5/14/2020,82047,28011,2648,3991,1594,97
15-May-20,5/15/2020,85855,30245,2752,3808,2234,104
16-May-20,5/16/2020,90649,34257,2872,4794,4012,120
17-May-20,5/17/2020,95698,36795,3024,5049,2538,152
18-May-20,5/18/2020,100326,39277,3155,4628,2482,131
19-May-20,5/19/2020,106480,42309,3301,6154,3032,146
20-May-20,5/20/2020,112200,45422,3435,5720,3113,134
21-May-20,5/21/2020,118223,48553,3583,6023,3131,148
22-May-20,5/22/2020,124759,51833,3725,6536,3280,142
23-May-20,5/23/2020,131424,54409,3867,6667,2576,142
24-May-20,5/24/2020,138537,57694,4023,7111,3285,156
25-May-20,5/25/2020,144951,60706,4173,6414,3012,150
26-May-20,5/26/2020,150858,64291,4346,5907,3585,173
27-May-20,5/27/2020,158104,67725,4534,7246,3434,188
28-May-20,5/28/2020,165358,70896,4710,7254,3171,176
29-May-20,5/29/2020,173496,82631,4979,8138,11735,269
30-May-20,5/30/2020,181860,86934,5184,8364,4303,205
31-May-20,5/31/2020,190649,91862,5406,8789,4928,222
1-Jun-20,6/1/2020,198372,95744,5607,7723,3882,201
2-Jun-20,6/2/2020,207187,100275,5829,8812,4531,222
3-Jun-20,6/3/2020,216876,104064,6088,9689,3789,259
4-Jun-20,6/4/2020,226723,108454,6362,9847,4390,274
5-Jun-20,6/5/2020,236195,113224,6648,9472,4770,286
6-Jun-20,6/6/2020,246603,118657,6945,10408,5433,297
7-Jun-20,6/7/2020,257485,123848,7206,10882,5191,261
8-Jun-20,6/8/2020,266021,129019,7477,8536,5171,271
9-Jun-20,6/9/2020,276002,134653,7749,9981,5634,272
10-Jun-20,6/10/2020,287158,140928,8107,11156,6275,358
11-Jun-20,6/11/2020,298293,146972,8501,11135,6044,394
12-Jun-20,6/12/2020,309599,154235,8889,11306,7263,388
13-Jun-20,6/13/2020,321638,162327,9198,12039,8092,309
14-Jun-20,6/14/2020,333043,169685,9522,11405,7358,324
15-Jun-20,6/15/2020,343075,180324,9918,10032,10639,396
16-Jun-20,6/16/2020,354161,187550,11922,11086,7226,2004
17-Jun-20,6/17/2020,367269,194440,12263,13108,6890,341
18-Jun-20,6/18/2020,381098,205181,12606,13829,10741,343
19-Jun-20,6/19/2020,395838,214210,12970,14740,9029,364
20-Jun-20,6/20/2020,411753,228184,13278,15918,13974,308
21-Jun-20,6/21/2020,426904,237259,13704,15151,9075,426
22-Jun-20,6/22/2020,440464,248138,14016,13560,10879,312
23-Jun-20,6/23/2020,456120,258600,14484,15656,10462,468
24-Jun-20,6/24/2020,472988,271689,14908,16868,13089,424
25-Jun-20,6/25/2020,491193,285672,15309,18205,13983,401
26-Jun-20,6/26/2020,509448,295918,15690,18255,10246,381
27-Jun-20,6/27/2020,529590,310147,16104,20142,14229,414
28-Jun-20,6/28/2020,549200,321778,16488,19610,11631,384
29-Jun-20,6/29/2020,567539,335275,16905,18339,13497,417
30-Jun-20,6/30/2020,585795,347840,17411,18256,12565,506
1-Jul-20,7/1/2020,605224,359904,17849,19429,12064,438
2-Jul-20,7/2/2020,627171,379903,18227,21947,19999,378
3-Jul-20,7/3/2020,649889,394320,18671,22718,14417,444
4-Jul-20,7/4/2020,673907,409066,19282,24018,14746,611
5-Jul-20,7/5/2020,697849,424895,19703,23942,15829,421
6-Jul-20,7/6/2020,720349,440210,20176,22500,15315,473
7-Jul-20,7/7/2020,743496,457046,20655,23147,16836,479
8-Jul-20,7/8/2020,769057,476554,21147,25561,19508,492
9-Jul-20,7/9/2020,794847,495962,21626,25790,19408,479
10-Jul-20,7/10/2020,822609,516251,22146,27762,20289,520
11-Jul-20,7/11/2020,850366,536232,22689,27757,19981,543
12-Jul-20,7/12/2020,879472,554430,23189,29106,18198,500
13-Jul-20,7/13/2020,907650,572113,23730,28178,17683,541
14-Jul-20,7/14/2020,937567,593090,24317,29917,20977,587
15-Jul-20,7/15/2020,970174,613736,24931,32607,20646,614
16-Jul-20,7/16/2020,1005642,636603,25611,35468,22867,680
17-Jul-20,7/17/2020,1040462,654079,26287,34820,17476,676
18-Jul-20,7/18/2020,1077873,677662,26830,37411,23583,543
19-Jul-20,7/19/2020,1118108,700392,27505,40235,22730,675
20-Jul-20,7/20/2020,1154914,724695,28101,36806,24303,596
21-Jul-20,7/21/2020,1194084,752284,28772,39170,27589,671
22-Jul-20,7/22/2020,1239685,784159,29902,45601,31875,1130
23-Jul-20,7/23/2020,1288128,817485,30657,48443,33326,755
24-Jul-20,7/24/2020,1337016,849999,31420,48888,32514,763
25-Jul-20,7/25/2020,1387088,887124,32123,50072,37125,703
26-Jul-20,7/26/2020,1436020,918636,32827,48932,31512,704
27-Jul-20,7/27/2020,1482504,952990,33469,46484,34354,642
28-Jul-20,7/28/2020,1532135,988673,34243,49631,35683,774
29-Jul-20,7/29/2020,1584614,1021559,35018,52479,32886,775
30-Jul-20,7/30/2020,1639582,1058984,35802,54968,37425,784
31-Jul-20,7/31/2020,1697068,1095538,36566,57486,36554,764
1-Aug-20,8/1/2020,1752185,1146906,37420,55117,51368,854
2-Aug-20,8/2/2020,1804857,1187261,38180,52672,40355,760
3-Aug-20,8/3/2020,1855345,1230331,38986,50488,43070,806
4-Aug-20,8/4/2020,1906627,1281551,39835,51282,51220,849
5-Aug-20,8/5/2020,1963253,1327134,40754,56626,45583,919
6-Aug-20,8/6/2020,2025423,1377275,41653,62170,50141,899
7-Aug-20,8/7/2020,2086878,1427662,42589,61455,50387,936
8-Aug-20,8/8/2020,2152034,1479797,43464,65156,52135,875
9-Aug-20,8/9/2020,2214151,1534271,44477,62117,54474,1013
10-Aug-20,8/10/2020,2267167,1581633,45364,53016,47362,887
11-Aug-20,8/11/2020,2328419,1638094,46199,61252,56461,835
12-Aug-20,8/12/2020,2395485,1695853,47149,67066,57759,950
13-Aug-20,8/13/2020,2459626,1750629,48155,64141,54776,1006
14-Aug-20,8/14/2020,2525236,1807549,49144,65610,56920,989
15-Aug-20,8/15/2020,2589222,1860665,50096,63986,53116,952
16-Aug-20,8/16/2020,2647318,1918069,51048,58096,57404,952
17-Aug-20,8/17/2020,2701616,1976241,51928,54298,58172,880
18-Aug-20,8/18/2020,2766640,2036696,53027,65024,60455,1099
19-Aug-20,8/19/2020,2835836,2096061,54006,69196,59365,979
20-Aug-20,8/20/2020,2904354,2157934,54987,68518,61873,981
21-Aug-20,8/21/2020,2973383,2220792,55940,69029,62858,953
22-Aug-20,8/22/2020,3043450,2279893,56858,70067,59101,918
23-Aug-20,8/23/2020,3105199,2336789,57704,61749,56896,846
24-Aug-20,8/24/2020,3164895,2403094,58558,59696,66305,854
25-Aug-20,8/25/2020,3231768,2467245,59624,66873,64151,1066
26-Aug-20,8/26/2020,3307763,2523436,60641,75995,56191,1017
27-Aug-20,8/27/2020,3384590,2583056,61707,76827,59620,1066
28-Aug-20,8/28/2020,3461247,2647531,62726,76657,64475,1019
29-Aug-20,8/29/2020,3539726,2712513,63669,78479,64982,943
30-Aug-20,8/30/2020,3619187,2772935,64629,79461,60422,960
31-Aug-20,8/31/2020,3687953,2837370,65445,68766,64435,816
1-Sep-20,9/1/2020,3766121,2899515,66337,78168,62145,892
2-Sep-20,9/2/2020,3848981,2967389,67250,82860,67874,913
3-Sep-20,9/3/2020,3933137,3034880,68229,84156,67491,979
4-Sep-20,9/4/2020,4020252,3104505,69179,87115,69625,950
5-Sep-20,9/5/2020,4110852,3177666,70095,90600,73161,916
6-Sep-20,9/6/2020,4202577,3247296,71100,91725,69630,1005
7-Sep-20,9/7/2020,4277592,3321412,72229,75015,74116,1129
8-Sep-20,9/8/2020,4367447,3396020,73336,89855,74608,1107
9-Sep-20,9/9/2020,4462983,3469082,74504,95536,73062,1168
10-Sep-20,9/10/2020,4559745,3539986,75717,96762,70904,1213
11-Sep-20,9/11/2020,4657400,3621442,76919,97655,81456,1202
12-Sep-20,9/12/2020,4751814,3699304,78030,94414,77862,1111
13-Sep-20,9/13/2020,4845034,3777052,79170,93220,77748,1140
14-Sep-20,9/14/2020,4926947,3856265,80224,81913,79213,1054
15-Sep-20,9/15/2020,5018045,3939114,81505,91098,82849,1281
16-Sep-20,9/16/2020,5115905,4022038,82645,97860,82924,1140
17-Sep-20,9/17/2020,5212692,4109826,83820,96787,87788,1175
18-Sep-20,9/18/2020,5305665,4205341,85041,92973,95515,1221
19-Sep-20,9/19/2020,5398239,4299730,86190,92574,94389,1149
20-Sep-20,9/20/2020,5485634,4392656,87325,87395,92926,1135
21-Sep-20,9/21/2020,5560127,4494726,88381,74493,102070,1056
22-Sep-20,9/22/2020,5643489,4584383,89466,83362,89657,1085
23-Sep-20,9/23/2020,5730192,4671842,90589,86703,87459,1123
24-Sep-20,9/24/2020,5816113,4752984,91733,85921,81142,1144
25-Sep-20,9/25/2020,5901830,4846315,92826,85717,93331,1093
26-Sep-20,9/26/2020,5990589,4938680,93950,88759,92365,1124
27-Sep-20,9/27/2020,6073359,5013371,94990,82770,74691,1040
28-Sep-20,9/28/2020,6143028,5098569,95765,69669,85198,775
29-Sep-20,9/29/2020,6223528,5184719,96943,80500,86150,1178
30-Sep-20,9/30/2020,6310276,5269993,98122,86748,85274,1179
1-Oct-20,10/1/2020,6392060,5348724,99221,81784,78731,1099
2-Oct-20,10/2/2020,6471943,5425063,100289,79883,76339,1068
3-Oct-20,10/3/2020,6547422,5506718,101226,75479,81655,937
4-Oct-20,10/4/2020,6622192,5583431,102129,74770,76713,903
5-Oct-20,10/5/2020,6682322,5659286,103015,60130,75855,886
6-Oct-20,10/6/2020,6754191,5741231,104005,71869,81945,990
7-Oct-20,10/7/2020,6833000,5824440,104968,78809,83209,963
8-Oct-20,10/8/2020,6903797,5903185,105935,70797,78745,967
9-Oct-20,10/9/2020,6977102,5985813,106864,73305,82628,929
10-Oct-20,10/10/2020,7051520,6074837,107785,74418,89024,921
11-Oct-20,10/11/2020,7119309,6146402,108598,67789,71565,813
12-Oct-20,10/12/2020,7173571,6224767,109308,54262,78365,710
13-Oct-20,10/13/2020,7237288,6298846,110035,63717,74079,727
14-Oct-20,10/14/2020,7305099,6380428,110725,67811,81582,690
15-Oct-20,10/15/2020,7368540,6451220,111607,63441,70792,882
16-Oct-20,10/16/2020,7430844,6521788,112447,62304,70568,840
17-Oct-20,10/17/2020,7492737,6594371,113479,61893,72583,1032
18-Oct-20,10/18/2020,7549256,6660789,114061,56519,66418,582
19-Oct-20,10/19/2020,7594762,6730589,114650,45506,69800,589
20-Oct-20,10/20/2020,7649110,6792417,115364,54348,61828,714
21-Oct-20,10/21/2020,7705374,6871978,116065,56264,79561,701
22-Oct-20,10/22/2020,7759745,6946547,116751,54371,74569,686
23-Oct-20,10/23/2020,7813676,7013541,117406,53931,66994,655
24-Oct-20,10/24/2020,7864042,7075811,117984,50366,62270,578
25-Oct-20,10/25/2020,7909964,7135115,118467,45922,59304,483
26-Oct-20,10/26/2020,7945983,7198849,118952,36019,63734,485
