Date,State,Confirmed,Recovered,Deceased,Other,Daily_Cases,Daily_Recovered,Daily_Deceased,,Tested
30-Jan-20,Kerala,1,0,0,0,,,,,
2-Feb-20,Kerala,2,0,0,0,,,,,
3-Feb-20,Kerala,3,0,0,0,,,,,
14-Feb-20,Kerala,3,3,0,0,,,,,
2-Mar-20,Kerala,3,3,0,0,,,,,
3-Mar-20,Kerala,3,3,0,0,,,,,
4-Mar-20,Kerala,3,3,0,0,,,,,
5-Mar-20,Kerala,3,3,0,0,,,,,
6-Mar-20,Kerala,3,3,0,0,,,,,
7-Mar-20,Kerala,3,3,0,0,,,,,
8-Mar-20,Kerala,8,3,0,0,,,,,
9-Mar-20,Kerala,9,3,0,0,,,,,
10-Mar-20,Kerala,17,3,0,0,,,,,
11-Mar-20,Kerala,17,3,0,0,,,,,
12-Mar-20,Kerala,19,3,0,0,,,,,
13-Mar-20,Kerala,22,3,0,0,,,,,
14-Mar-20,Kerala,22,3,0,0,19,3,0,,
15-Mar-20,Kerala,24,3,0,0,5,0,0,,
16-Mar-20,Kerala,27,3,0,0,3,0,0,,
17-Mar-20,Kerala,27,3,0,0,0,0,0,,
18-Mar-20,Kerala,27,3,0,0,0,0,0,,
19-Mar-20,Kerala,28,3,0,0,1,0,0,,
20-Mar-20,Kerala,40,3,0,0,12,0,0,,
21-Mar-20,Kerala,52,3,0,0,12,0,0,,
22-Mar-20,Kerala,67,3,0,0,15,0,0,,
23-Mar-20,Kerala,95,3,0,0,28,0,0,,
24-Mar-20,Kerala,109,3,0,0,14,1,0,,
25-Mar-20,Kerala,118,3,0,0,9,0,0,,
26-Mar-20,Kerala,137,3,0,0,19,7,0,,
27-Mar-20,Kerala,176,3,0,0,39,0,0,,
28-Mar-20,Kerala,182,3,0,0,6,1,1,,
29-Mar-20,Kerala,202,20,1,0,20,4,0,,
30-Mar-20,Kerala,234,20,1,0,32,4,0,,
31-Mar-20,Kerala,241,24,2,0,7,4,1,,
1-Apr-20,Kerala,265,26,2,0,24,2,0,,7965
2-Apr-20,Kerala,286,28,2,0,21,2,0,,8456
3-Apr-20,Kerala,295,42,2,0,9,14,0,,9139
4-Apr-20,Kerala,306,50,2,0,11,8,0,,9744
5-Apr-20,Kerala,314,56,2,0,8,6,0,,10221
6-Apr-20,Kerala,327,59,2,0,13,3,0,,10716
7-Apr-20,Kerala,336,71,2,0,9,12,0,,11232
8-Apr-20,Kerala,345,84,2,0,9,13,0,,11986
9-Apr-20,Kerala,357,97,2,0,12,13,0,,12710
10-Apr-20,Kerala,364,124,2,0,7,27,0,,13339
11-Apr-20,Kerala,374,143,3,0,10,19,1,,14163
12-Apr-20,Kerala,376,179,3,0,2,36,0,,14989
13-Apr-20,Kerala,379,198,3,0,3,19,0,,15683
14-Apr-20,Kerala,387,211,3,0,8,13,0,,16235
15-Apr-20,Kerala,388,218,3,0,1,7,0,,16475
16-Apr-20,Kerala,395,245,3,0,7,27,0,,17400
17-Apr-20,Kerala,396,255,3,0,1,10,0,,18029
18-Apr-20,Kerala,400,257,3,0,4,2,0,,18774
19-Apr-20,Kerala,402,270,3,0,2,13,0,,19351
20-Apr-20,Kerala,408,291,3,0,6,21,0,,19756
21-Apr-20,Kerala,427,307,3,0,19,16,0,,20252
22-Apr-20,Kerala,438,308,3,0,11,1,0,,20821
23-Apr-20,Kerala,448,316,3,0,10,8,0,,21334
24-Apr-20,Kerala,451,331,4,0,3,15,1,,21940
25-Apr-20,Kerala,458,338,4,0,7,7,0,,22360
26-Apr-20,Kerala,469,342,4,0,11,4,0,,22954
27-Apr-20,Kerala,482,355,4,0,13,13,0,,24146
28-Apr-20,Kerala,486,359,4,0,4,4,0,,24855
29-Apr-20,Kerala,496,369,4,0,10,10,0,,25827
30-Apr-20,Kerala,498,383,4,0,2,14,0,,27481
1-May-20,Kerala,498,392,4,0,0,9,0,,29012
2-May-20,Kerala,500,400,4,0,2,8,0,,33276
3-May-20,Kerala,500,401,4,0,0,1,0,,34608
4-May-20,Kerala,500,462,4,0,0,61,0,,35441
5-May-20,Kerala,503,462,4,0,3,0,0,,36312
6-May-20,Kerala,503,469,4,0,0,7,0,,37546
7-May-20,Kerala,503,474,4,0,0,5,0,,38206
8-May-20,Kerala,504,484,4,0,1,10,0,,39266
9-May-20,Kerala,506,485,4,0,2,1,0,,40123
10-May-20,Kerala,513,489,4,0,7,4,0,,41279
11-May-20,Kerala,520,489,4,0,7,0,0,,41700
12-May-20,Kerala,525,489,4,0,5,0,0,,42461
13-May-20,Kerala,535,490,4,0,10,1,0,,43648
14-May-20,Kerala,561,493,4,0,26,3,0,,45039
15-May-20,Kerala,577,493,4,0,16,0,0,,46831
16-May-20,Kerala,588,497,4,0,11,4,0,,48433
17-May-20,Kerala,602,497,4,0,14,0,0,,50036
18-May-20,Kerala,631,497,4,0,29,0,0,,51059
19-May-20,Kerala,643,497,4,0,12,0,0,,52588
20-May-20,Kerala,667,502,4,0,24,5,0,,54633
21-May-20,Kerala,691,510,4,0,24,8,0,,56373
22-May-20,Kerala,733,512,5,0,42,2,1,,58382
23-May-20,Kerala,795,515,5,0,62,3,0,,60443
24-May-20,Kerala,848,520,6,0,53,5,1,,61900
25-May-20,Kerala,897,532,6,0,49,12,0,,63009
26-May-20,Kerala,964,542,7,0,67,10,1,,65303
27-May-20,Kerala,1004,552,7,0,40,10,0,,67961
28-May-20,Kerala,1089,555,8,0,85,3,1,,70622
29-May-20,Kerala,1151,565,9,0,62,10,1,,74214
30-May-20,Kerala,1209,575,10,0,58,10,1,,77257
31-May-20,Kerala,1270,590,10,0,61,15,0,,77508
1-Jun-20,Kerala,1327,608,11,0,57,18,1,,82449
2-Jun-20,Kerala,1413,627,12,0,86,19,1,,86169
3-Jun-20,Kerala,1495,651,12,0,82,24,0,,95348
4-Jun-20,Kerala,1589,690,15,0,94,39,3,,99692
5-Jun-20,Kerala,1700,713,15,-1,111,22,0,,104045
6-Jun-20,Kerala,1808,763,16,0,108,50,1,,107796
7-Jun-20,Kerala,1915,804,16,0,107,41,0,,111930
8-Jun-20,Kerala,2006,815,17,0,91,11,1,,113956
9-Jun-20,Kerala,2097,849,17,0,91,34,0,,126088
10-Jun-20,Kerala,2162,906,18,0,65,57,1,,131006
11-Jun-20,Kerala,2245,968,19,0,83,62,1,,135974
12-Jun-20,Kerala,2323,1000,20,0,78,32,1,,140457
13-Jun-20,Kerala,2408,1046,20,0,85,46,0,,144842
14-Jun-20,Kerala,2462,1102,20,0,54,56,0,,149164
15-Jun-20,Kerala,2544,1176,21,-1,82,73,1,,151686
16-Jun-20,Kerala,2623,1236,21,-1,79,60,0,,157117
17-Jun-20,Kerala,2698,1326,21,-1,75,90,0,,161829
