Date,District,Confirmed,Recovered,Deceased
26-Apr-20,Alappuzha,5,5,0
26-Apr-20,Ernakulam,24,21,1
26-Apr-20,Idukki,20,10,0
26-Apr-20,Kannur,111,55,1
26-Apr-20,Kasaragod,175,161,0
26-Apr-20,Kollam,14,5,0
26-Apr-20,Kottayam,14,3,0
26-Apr-20,Kozhikode,24,13,0
26-Apr-20,Malappuram,22,19,1
26-Apr-20,Palakkad,12,7,0
26-Apr-20,Pathanamthitta,17,14,0
26-Apr-20,Thiruvananthapuram,15,13,1
26-Apr-20,Thrissur,13,13,0
26-Apr-20,Wayanad,3,3,0
27-Apr-20,Alappuzha,5,5,0
27-Apr-20,Ernakulam,24,22,1
27-Apr-20,Idukki,24,10,0
27-Apr-20,Kannur,112,61,1
27-Apr-20,Kasaragod,175,161,0
27-Apr-20,Kollam,14,5,0
27-Apr-20,Kottayam,20,3,0
27-Apr-20,Kozhikode,24,17,0
27-Apr-20,Malappuram,23,20,1
27-Apr-20,Palakkad,13,7,0
27-Apr-20,Pathanamthitta,17,14,0
27-Apr-20,Thiruvananthapuram,15,14,1
27-Apr-20,Thrissur,13,13,0
27-Apr-20,Wayanad,3,3,0
28-Apr-20,Alappuzha,5,5,0
28-Apr-20,Ernakulam,24,22,1
28-Apr-20,Idukki,24,10,0
28-Apr-20,Kannur,115,63,1
28-Apr-20,Kasaragod,176,163,0
28-Apr-20,Kollam,14,5,0
28-Apr-20,Kottayam,20,3,0
28-Apr-20,Kozhikode,24,17,0
28-Apr-20,Malappuram,23,20,1
28-Apr-20,Palakkad,13,7,0
28-Apr-20,Pathanamthitta,17,14,0
28-Apr-20,Thiruvananthapuram,15,14,1
28-Apr-20,Thrissur,13,13,0
28-Apr-20,Wayanad,3,3,0
29-Apr-20,Alappuzha,5,5,0
29-Apr-20,Ernakulam,24,22,1
29-Apr-20,Idukki,24,10,0
29-Apr-20,Kannur,115,66,1
29-Apr-20,Kasaragod,178,166,0
29-Apr-20,Kollam,20,5,0
29-Apr-20,Kottayam,20,3,0
29-Apr-20,Kozhikode,24,20,0
29-Apr-20,Malappuram,23,20,1
29-Apr-20,Palakkad,13,7,0
29-Apr-20,Pathanamthitta,17,15,0
29-Apr-20,Thiruvananthapuram,17,14,1
29-Apr-20,Thrissur,13,13,0
29-Apr-20,Wayanad,3,3,0
30-Apr-20,Alappuzha,5,5,0
30-Apr-20,Ernakulam,24,22,1
30-Apr-20,Idukki,24,10,0
30-Apr-20,Kannur,115,68,1
30-Apr-20,Kasaragod,179,168,0
30-Apr-20,Kollam,20,8,0
30-Apr-20,Kottayam,20,3,0
30-Apr-20,Kozhikode,24,21,0
30-Apr-20,Malappuram,24,21,1
30-Apr-20,Palakkad,13,11,0
30-Apr-20,Pathanamthitta,17,16,0
30-Apr-20,Thiruvananthapuram,17,14,1
30-Apr-20,Thrissur,13,13,0
30-Apr-20,Wayanad,3,3,0
01-May-20,Alappuzha,5,5,0
01-May-20,Ernakulam,24,23,1
01-May-20,Idukki,24,10,0
01-May-20,Kannur,115,72,1
01-May-20,Kasaragod,179,172,0
01-May-20,Kollam,20,8,0
01-May-20,Kottayam,20,3,0
01-May-20,Kozhikode,24,21,0
01-May-20,Malappuram,24,21,1
01-May-20,Palakkad,13,11,0
01-May-20,Pathanamthitta,17,16,0
01-May-20,Thiruvananthapuram,17,14,1
01-May-20,Thrissur,13,13,0
01-May-20,Wayanad,3,3,0
02-May-20,Alappuzha,5,5,0
02-May-20,Ernakulam,24,23,1
02-May-20,Idukki,24,12,0
02-May-20,Kannur,116,78,1
02-May-20,Kasaragod,179,172,0
02-May-20,Kollam,20,8,0
02-May-20,Kottayam,20,3,0
02-May-20,Kozhikode,24,21,0
02-May-20,Malappuram,24,21,1
02-May-20,Palakkad,13,11,0
02-May-20,Pathanamthitta,17,16,0
02-May-20,Thiruvananthapuram,17,14,1
02-May-20,Thrissur,13,13,0
02-May-20,Wayanad,4,3,0
03-May-20,Alappuzha,5,5,0
03-May-20,Ernakulam,24,23,1
03-May-20,Idukki,24,12,0
03-May-20,Kannur,116,78,1
03-May-20,Kasaragod,179,173,0
03-May-20,Kollam,20,8,0
03-May-20,Kottayam,20,3,0
03-May-20,Kozhikode,24,21,0
03-May-20,Malappuram,24,21,1
03-May-20,Palakkad,13,11,0
03-May-20,Pathanamthitta,17,16,0
